Laptop,899.99,15
Smartphone,499.95,25
Headphones,79.99,50
Camera,599.50,10
Fitness Tracker,129.95,40
Smart TV,799.00,20
Gaming Console,299.99,30
Tablet,349.50,18
Coffee Maker,49.95,50
Microwave,129.99,12
Blender,69.75,35
Vacuum Cleaner,199.00,22
Electric Toothbrush,59.95,45
Air Purifier,149.50,15
Smart Watch,179.99,28
Portable Speaker,89.95,40
Espresso Machine,249.00,10
Desk Chair,119.50,25
Backpack,39.99,60
Sunglasses,79.95,50
Running Shoes,99.50,40
Watch,199.99,20
Dumbbell Set,129.95,15
Sleeping Bag,59.50,30
Blender,89.99,20
Water Bottle,19.95,75
Umbrella,14.50,100
LaptopBag,49.99,35
Wireless Mouse,29.95,50
Desk Lamp,34.50,28
mouse,44,90